# HICO Calibration Data from [1] A. Ibrahim et al., “Atmospheric correction for hyperspectral ocean color retrieval with application to the Hyperspectral Imager for the Coastal Ocean (HICO),” Remote Sens. Environ., vol. 204, pp. 60–75, Jan. 2018.
# Wavelength [nm], Cal Factor [unitless]
352.528, 1.165
358.256, 0.871
363.984, 0.953
369.712, 0.992
375.440, 1.009
381.168, 1.019
386.896, 1.025
392.624, 1.015
398.352, 1.020
404.080, 1.042
409.808, 1.012
415.536, 1.009
421.264, 1.025
426.992, 1.034
432.720, 1.017
438.448, 1.019
444.176, 1.028
449.904, 1.035
455.632, 1.046
461.360, 1.051
467.088, 1.044
472.816, 1.041
478.544, 1.041
484.272, 1.023
490.000, 1.013
495.728, 1.020
501.456, 1.013
507.184, 1.013
512.912, 1.000
518.640, 0.991
524.368, 0.993
530.096, 0.998
535.824, 1.006
541.552, 1.014
547.280, 1.020
553.008, 1.021
558.736, 1.015
564.464, 1.016
570.192, 1.028
575.920, 1.038
581.648, 1.039
587.376, 1.036
593.104, 1.033
598.832, 1.038
604.560, 1.038
610.288, 1.038
616.016, 1.038
621.744, 1.050
627.472, 1.060
633.200, 1.063
638.928, 1.063
644.656, 1.058
650.384, 1.057
656.112, 1.046
661.840, 1.044
667.568, 1.043
673.296, 1.041
679.024, 1.041
684.752, 1.023
690.480, 1.026
696.208, 1.063
701.936, 1.076
707.664, 1.072
713.392, 1.069
719.120, 1.058
724.848, 1.059
730.576, 1.066
736.304, 1.059
742.032, 1.052
747.760, 1.038
753.488, 1.022
759.216, 0.986
764.944, 0.973
770.672, 0.995
776.400, 1.000
782.128, 1.005
787.856, 1.000
793.584, 0.992
799.312, 0.981
805.040, 0.968
810.768, 0.944
816.496, 0.920
822.224, 0.899
827.952, 0.879
833.680, 0.858
839.408, 0.828
845.136, 0.797
850.864, 0.763
856.592, 0.742
862.320, 0.732
868.048, 0.729
873.776, 0.721
879.504, 0.703
885.232, 0.683
890.960, 0.652
896.688, 0.619
902.416, 0.593
908.144, 0.576
913.872, 0.559
919.600, 0.530
925.328, 0.489
931.056, 0.422
936.784, 0.366
942.512, 0.332
948.240, 0.321
953.968, 0.330
959.696, 0.345
965.424, 0.359
971.152, 0.375
976.880, 0.375
982.608, 0.361
988.336, 0.342
994.064, 0.325
999.790, 0.312
1005.52, 0.298
1011.25, 0.280
1016.98, 0.263
1022.70, 0.248
1028.43, 0.232
1034.16, 0.216
1039.89, 0.195
1045.62, 0.172
1051.34, 0.151
1057.07, 0.137
1062.80, 0.084
1068.53, 0.071
1074.26, 0.074
1079.98, 0.060
